246.1,2400,36.8,111.6,12.8,26562
101.2,1790,34.8,98.4,14.9,28508
364.6,1350,42.2,85.6,13.6,21889
417,1000,39,105.6,13.6,37854
232,978,38.3,103.9,12.1,18217
283.2,715,39.4,90.4,13.9,9017
173.7,662,36.9,84.2,14.3,10612
285.5,662,40.8,99.7,12.2,16270
157.7,589,38.8,81.9,15.3,6908
202.6,560,38.9,84.7,14,6933
58.3,539,37.9,96.4,14,9061
175,536,39.8,92.1,14.1,13296
183.4,526,37.9,87.1,13.1,8410
106,524,39.6,90.7,11,5259
1210.1,490,40,119.3,9.5,19187
87.9,424,38.7,83.4,13.2,5910
68.1,418,38.1,104.2,9.6,5436
858,384,39.4,127.4,10,12502
95.4,369,39.2,78.9,16.8,4872
