417,1000,39,105.6,13.6,37854
101.2,1790,34.8,98.4,14.9,28508
246.1,2400,36.8,111.6,12.8,26562
364.6,1350,42.2,85.6,13.6,21889
1210.1,490,40,119.3,9.5,19187
232,978,38.3,103.9,12.1,18217
285.5,662,40.8,99.7,12.2,16270
175,536,39.8,92.1,14.1,13296
858,384,39.4,127.4,10,12502
173.7,662,36.9,84.2,14.3,10612
58.3,539,37.9,96.4,14,9061
283.2,715,39.4,90.4,13.9,9017
183.4,526,37.9,87.1,13.1,8410
107.1,315,37.2,78.1,18.6,7488
202.6,560,38.9,84.7,14,6933
157.7,589,38.8,81.9,15.3,6908
742.6,190,41,117.3,10.4,6099
610.8,283,38.8,125.1,9,5967
87.9,424,38.7,83.4,13.2,5910
68.1,418,38.1,104.2,9.6,5436
